book_name,writer_name,type,category,mood,cover_url
Stranger in a Strange Land,Robert A. Heinlein,Book,English,Mind-Expanding,https://upload.wikimedia.org/wikipedia/commons/3/3f/Stranger_in_a_Strange_Land_%281961%29_front_cover%2C_first_edition.jpg
1984,George Orwell,Book,English,Mind-Expanding,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1327144697i/3744438.jpg
Brave New World,Aldous Huxley,Book,English,Mind-Expanding,https://upload.wikimedia.org/wikipedia/en/6/62/BraveNewWorld_FirstEdition.jpg
The Martian,Andy Weir,Book,English,Mind-Expanding,https://upload.wikimedia.org/wikipedia/commons/7/71/The_Martian_%28Weir_novel%29.jpg
All You Need Is Kill,Hiroshi Sakurazaka,Book,Japanese,Mind-Expanding,https://upload.wikimedia.org/wikipedia/en/0/05/All_You_Need_Is_Kill.jpg
The Stories of Ibis,Hiroshi Yamamoto,Book,Japanese,Mind-Expanding,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1348189898i/6949682.jpg
Harmony,Whitney Hanson,Book,Japanese,Mind-Expanding,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1684408362i/157112949.jpg
Shinsekai Yori,Yusuke Kishi,Book,Japanese,Mind-Expanding,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1356897905i/7171561.jpg
Orbital Cloud,Taiyo Fujii,Book,Japanese,Mind-Expanding,"https://m.media-amazon.com/images/I/71uEn1oreAL.jpg_BO30,255,255,255_UF750,750_SR1910,1000,0,C_QL100_.jpg"
Clone,Aaron Ginsburg,Book,Indian,Mind-Expanding,"https://m.media-amazon.com/images/I/51NWfT-cLiL._UF894,1000_QL80_.jpg"
Ambiguity Machine and Other Stories,Vandana Singh,Book,Indian,Mind-Expanding,"https://m.media-amazon.com/images/I/81rEImBGInL._AC_UF1000,1000_QL80_.jpg"
Meru,S.B. Divya,Book,Indian,Mind-Expanding,"https://m.media-amazon.com/images/I/91UvzkcmlEL._AC_UF1000,1000_QL80_.jpg"
Harvest,Jim Crace,Book,Indian,Mind-Expanding,"https://images-eu.ssl-images-amazon.com/images/I/91uzpBVPonL._AC_UL210_SR210,210_.jpg"
The Gollancz,Tarun K. Saint,Book,Indian,Mind-Expanding,"https://m.media-amazon.com/images/I/81mvkDFokAL._AC_UF1000,1000_QL80_.jpg"
Developmental Physical Education for Today's School Children,David L. Gallahue,Book,English,Fun,https://images.amazon.com/images/P/0697237303.01.LZZZZZZZ.jpg
"Lights, Laughter and a Lady (Thorndike Large Print Candlelight Series)",Barbara Cartland,Book,English,Fun,https://images.amazon.com/images/P/0786236248.01.LZZZZZZZ.jpg
North Carolina (New Enchantment of America State Books),"John Allan, Carpenter",Book,English,Fun,https://images.amazon.com/images/P/0516041339.01.LZZZZZZZ.jpg
Richard Scarry's Lowly Worm Storybook (Please Read to Me),Richard Scarry,Book,English,Fun,https://images.amazon.com/images/P/0394882709.01.LZZZZZZZ.jpg
The House of Wooden Santas (Northern Lights Books for Children),Kevin Major,Book,English,Fun,https://images.amazon.com/images/P/0889951667.01.LZZZZZZZ.jpg
An Encyclopedia of Natural Healing for Children and Infants,Mary Bove,Book,English,Fun,https://images.amazon.com/images/P/087983692X.01.LZZZZZZZ.jpg
The Seven Spiritual Laws for Parents : Guiding Your Children to Success and Fulfillment,DEEPAK CHOPRA,Book,English,Fun,https://images.amazon.com/images/P/060960077X.01.LZZZZZZZ.jpg
Funny Stories (Story Library),Michael Rosen,Book,English,Fun,https://images.amazon.com/images/P/1856978834.01.LZZZZZZZ.jpg
Beast and the Halloween Horror (Kids of the Polk Street School),Patricia Reilly Giff,Book,English,Fun,https://images.amazon.com/images/P/0440403359.01.LZZZZZZZ.jpg
Nothing Sacred: Women Respond to Religious Fundamentalism and Terror,Betsy Reed,Book,English,Fun,https://images.amazon.com/images/P/1560254505.01.LZZZZZZZ.jpg
Foster Mary,Celia Strang,Book,English,Fun,https://images.amazon.com/images/P/0070619964.01.LZZZZZZZ.jpg
"Nutty Footy Book (Puffin Jokes, Games, Puzzles)",Chatterton,Book,English,Fun,https://images.amazon.com/images/P/0140370579.01.LZZZZZZZ.jpg
The Funny Thing Is...,Ellen DeGeneres,Book,English,Fun,https://images.amazon.com/images/P/0743247612.01.LZZZZZZZ.jpg
Summer Pony,Jean Slaughter Doty,Book,English,Fun,https://images.amazon.com/images/P/0027327507.01.LZZZZZZZ.jpg
The Four Noble Truths: Fundamentals of the Buddhist Teachings His Holiness the XIV Dalai Lama,Dalai Lama,Book,English,Fun,https://images.amazon.com/images/P/0722535503.01.LZZZZZZZ.jpg
Shen of the Sea: Chinese Stories for Children,Arthur Bowie Chrisman,Book,English,Fun,https://images.amazon.com/images/P/0525392440.01.LZZZZZZZ.jpg
X-Men in the Savage Land (X-Men),Paul Mantell,Book,English,Fun,https://images.amazon.com/images/P/0679867007.01.LZZZZZZZ.jpg
EDGE #2,Chris Oarr,Book,English,Fun,https://images.amazon.com/images/P/1931484139.01.LZZZZZZZ.jpg
Macmillan First Dictionary,Judith S. Levey,Book,English,Fun,https://images.amazon.com/images/P/0027617319.01.LZZZZZZZ.jpg
Fabulously Fun Things to Do With Your Friends,Kathleen Winchester,Book,English,Fun,https://images.amazon.com/images/P/0439090148.01.LZZZZZZZ.jpg
California Suite: A New Comedy,Neil Simon,Book,English,Fun,https://images.amazon.com/images/P/0394412842.01.LZZZZZZZ.jpg
Fun City,Burt Hirschfeld,Book,English,Fun,https://images.amazon.com/images/P/0727814540.01.LZZZZZZZ.jpg
"Sweetheart, Evil Heart (Seniors a Fear Street Super Chiller, No 8)",R. L. Stine,Book,English,Fun,https://images.amazon.com/images/P/0307247120.01.LZZZZZZZ.jpg
"Real Kids Real Adventures: Number 2 (Real Kids Real Adventures, No 2)",Deborah Morris,Book,English,Fun,https://images.amazon.com/images/P/0425159752.01.LZZZZZZZ.jpg
More Naughty Little Sister Stories,Dorothy Edwards,Book,English,Fun,https://images.amazon.com/images/P/074970053X.01.LZZZZZZZ.jpg
Ten Talks Parents Must Have Their Children About Drugs & Choices (Ten Talks Series),Dominic Cappello,Book,English,Fun,https://images.amazon.com/images/P/0786886641.01.LZZZZZZZ.jpg
Water Dance,Thomas Locker,Book,English,Fun,https://images.amazon.com/images/P/0152012842.01.LZZZZZZZ.jpg
Beowulf's Children,Larry Niven,Book,English,Fun,https://images.amazon.com/images/P/0312855222.01.LZZZZZZZ.jpg
Big Bird Plays the Violin (Sesame Street Start-to-Read Books),Deborah Hautzig,Book,English,Fun,https://images.amazon.com/images/P/0679816755.01.LZZZZZZZ.jpg
"Page (Protector of the Small, 2)",Tamora Pierce,Book,English,Fun,https://images.amazon.com/images/P/0679889159.01.LZZZZZZZ.jpg
Horsefeathers : & Other Curious Words,Charles E. Funk,Book,English,Fun,https://images.amazon.com/images/P/0060513373.01.LZZZZZZZ.jpg
"Overnight Bite (Fangs , No 2)",Carol Ellis,Book,English,Fun,https://images.amazon.com/images/P/0679881638.01.LZZZZZZZ.jpg
None Dare Call It Education: What's Happening to Our Schools & Our Children?,John Stormer,Book,English,Fun,https://images.amazon.com/images/P/0914053124.01.LZZZZZZZ.jpg
The Moon Lady,Amy Tan,Book,English,Fun,https://images.amazon.com/images/P/0027888304.01.LZZZZZZZ.jpg
The Voyage of the Ludgate Hill: Travels with Robert Louis Stevenson,Nancy Willard,Book,English,Fun,https://images.amazon.com/images/P/0152944648.01.LZZZZZZZ.jpg
King Silky!,Leo Calvin Rosten,Book,English,Fun,https://images.amazon.com/images/P/0060136847.01.LZZZZZZZ.jpg
"Oh, the Thinks You Can Think! (I Can Read It All by Myself Beginner Books)",Dr. Seuss,Book,English,Fun,https://images.amazon.com/images/P/0394831292.01.LZZZZZZZ.jpg
Wall Street's Picks for 2000: An Insider's Guide to the Year's Best Stocks & Mutual Funds (Wall Street's Picks),Kirk Kazanjian,Book,English,Fun,https://images.amazon.com/images/P/0793133955.01.LZZZZZZZ.jpg
